id,ram,cpu
448,0,2
449,8,3
450,4,28
451,10,8
452,24,21
453,8,21
454,31,2
455,0,29
456,12,19
457,14,10
458,14,12
459,29,7
460,27,22
461,22,9
462,30,7
463,25,30
464,5,15
465,26,21
466,4,11
467,23,10
468,10,3
469,26,31
470,26,1
471,15,20
472,3,31
473,16,11
474,9,8
475,30,29
476,20,30
477,2,17
478,27,19
479,18,31
480,25,25
481,7,24
482,15,26
483,4,25
484,15,26
485,20,4
486,31,0
487,1,2
488,8,23
489,24,1
490,14,17
491,8,20
492,23,25
493,7,14
494,21,17
495,29,2
496,23,4
497,22,23
498,14,1
499,31,20
500,16,19
501,15,13
502,10,4
503,23,2
504,17,23
505,12,4
506,6,12
507,19,8
508,7,13
509,2,2
510,24,27
511,30,26
512,18,3
513,8,30
514,3,28
515,15,3
516,9,3
517,10,16
518,27,31
519,6,0
520,1,27
521,4,14
522,5,15
523,11,19
524,9,12
525,10,7
526,12,24
527,5,27
528,17,15
529,25,11
530,17,24
531,14,22
532,7,23
533,9,19
534,12,17
535,13,15
536,30,7
537,17,0
538,27,12
539,29,2
540,24,10
541,18,28
542,11,13
543,6,18
544,9,10
545,8,13
546,8,7
547,17,9
548,22,4
549,11,21
550,21,20
551,3,19
552,1,11
553,11,8
554,6,13
555,31,5
556,16,5
557,3,1
558,27,30
559,2,23
560,16,28
561,16,12
562,7,26
563,17,24
564,28,10
565,25,9
566,16,1
567,30,29
568,17,19
569,19,31
570,16,27
571,6,20
572,18,15
573,29,8
574,4,26
575,14,31
576,27,3
577,11,3
578,6,3
579,11,0
580,13,12
581,9,13
582,18,30
583,25,17
584,23,4
585,3,26
586,30,12
587,23,3
588,27,10
589,9,17
590,23,20
591,18,22
592,20,22
593,7,9
594,28,6
595,27,3
596,19,14
597,27,10
598,1,26
599,30,11
600,4,27
601,24,19
602,26,11
603,23,16
604,11,31
605,22,25
606,21,27
607,15,20
608,17,18
609,26,20
610,12,22
611,4,20
612,15,8
613,24,3
614,28,2
615,12,18
616,21,4
617,25,3
618,27,28
619,6,6
620,14,7
621,16,27
622,14,8
623,19,20
624,10,17
625,30,21
626,25,12
627,3,27
628,2,25
629,20,24
630,16,18
631,0,6
632,30,23
633,13,12
634,24,27
635,19,16
636,11,17
637,10,14
638,24,13
639,18,18
640,28,3
641,11,13
642,6,29
643,14,15
644,7,23
645,27,22
646,20,28
647,8,17
648,11,0
649,25,3
650,4,29
651,24,4
652,10,11
653,11,22
654,28,16
655,29,11
656,13,22
657,19,27
658,24,5
659,21,13
660,28,26
661,8,1
662,0,6
663,9,10
664,20,6
665,20,2
666,6,7
667,25,3
668,5,16
669,20,21
670,8,9
671,20,14
672,18,31
673,24,17
674,23,26
675,8,26
676,4,7
677,1,26
678,19,7
679,25,14
680,21,29
681,13,14
682,13,27
683,30,7
684,24,12
685,22,26
686,19,23
687,31,9
688,8,3
689,20,16
690,16,8
691,20,11
692,29,21
693,8,23
694,8,25
695,12,22
696,29,27
697,16,1
698,19,15
699,16,13
700,9,8
701,25,26
702,29,16
703,27,2
704,30,19
705,16,16
706,27,8
707,31,8
708,0,11
709,24,27
710,27,19
711,6,28
712,1,15
713,19,31
714,28,13
715,1,12
716,27,6
717,0,1
718,21,21
719,13,13
720,16,8
721,29,3
722,7,9
723,22,27
724,9,18
725,25,10
726,14,22
727,22,27
728,10,18
729,3,5
730,22,1
731,28,12
732,9,0
733,0,12
734,1,8
735,25,18
736,7,30
737,20,12
738,25,23
739,14,23
740,12,17
741,3,31
742,0,28
743,19,18
744,28,18
745,29,7
746,18,12
747,23,22
748,8,11
749,18,26
750,27,1
751,3,22
752,15,2
753,26,24
754,4,22
755,7,13
756,20,24
757,12,14
758,8,6
759,4,17
760,0,0
761,21,18
762,10,1
763,31,12
764,1,9
765,30,4
766,11,28
767,4,24
768,26,18
769,26,8
770,25,31
771,1,24
772,29,17
773,31,0
774,4,7
775,10,15
776,18,28
777,30,27
778,17,19
779,25,28
780,18,15
781,4,31
782,24,18
783,25,5
784,8,22
785,26,28
786,0,18
787,3,25
788,22,24
789,9,18
790,20,24
791,18,8
792,17,23
793,18,17
794,6,2
795,29,22
796,22,1
797,7,23
798,28,16
799,27,19
