id,ram,cpu
484,0,9
485,16,2
486,11,15
487,17,4
488,9,1
489,9,17
490,8,6
491,6,1
492,5,17
493,15,14
494,16,7
495,11,2
496,16,12
497,0,16
498,4,4
499,13,5
500,3,13
501,15,6
502,15,3
503,17,6
504,12,0
505,13,14
506,2,16
507,5,12
508,3,2
509,11,6
510,17,6
511,16,4
512,9,6
513,8,16
514,11,15
515,16,13
516,13,1
517,7,0
518,6,10
519,11,0
520,1,16
521,17,12
522,17,10
523,0,14
524,15,9
525,1,16
526,4,0
527,16,9
528,12,13
529,9,3
530,17,10
531,7,8
532,16,3
533,14,4
534,9,4
535,11,17
536,5,12
537,16,11
538,10,3
539,3,9
540,4,5
541,12,5
542,16,11
543,11,17
544,9,13
545,2,17
546,8,2
547,1,3
548,16,3
549,7,15
550,10,4
551,9,1
552,5,14
553,13,14
554,17,2
555,5,5
556,12,9
557,0,9
558,7,0
559,11,10
560,16,8
561,5,8
562,9,11
563,14,2
564,4,6
565,10,15
566,4,17
567,14,9
568,11,13
569,5,13
570,7,7
571,5,5
572,15,0
573,4,8
574,6,1
575,12,14
576,17,0
577,0,11
578,3,17
579,7,11
580,17,8
581,16,10
582,17,9
583,3,11
584,9,10
585,8,10
586,17,11
587,1,17
588,10,3
589,8,7
590,12,16
591,5,17
592,12,3
593,13,2
594,2,9
595,13,13
596,14,15
597,1,15
598,6,17
599,15,6
